LCT,environment,max_length_cm,common_length_cm,in_range,habitat,total_mean_length_cm
Glyptocephalus zachirus,demersal,60,36,y,demersal,30.432852267499705
Gobiesox maeandricus,demersal,16,NA,y,demersal,16
Hemilepidotus hemilepidotus,demersal,51,NA,y,demersal,26
Hexagrammos decagrammus,demersal,61,NA,y,demersal,30.778546641920986
Hippoglossoides elassodon,demersal,52,NA,y,demersal,28.885007298750313
Hippoglossus stenolepis,demersal,258,NA,y,demersal,258
Hydrolagus colliei,demersal,100,NA,y,demersal,40.152542372881356
Icelinus borealis,demersal,10.2,NA,y,demersal,10.2
Isopsetta isolepis,demersal,55,NA,y,demersal,27.635425294679834
Lampanyctus fernae,bathypelagic,9.1,NA,y,bathypelagic,9.1
Lepidopsetta bilineata,demersal,58,NA,y,demersal,58
Lepidopsetta bilineata/polyxystra,demersal,27.75,NA,y,demersal,28.306740837696335
Lepidopsetta polyxystra,demersal,69,NA,y,demersal,69
Leptoclinus maculatus,demersal,20,NA,y,demersal,20
Leptoclinus maculatus,demersal,20,NA,y,demersal,20
Leptocottus armatus,demersal,46,NA,y,demersal,20.185185185185187
Liparidae1,NA,NA,NA,y,NA,NA
Liparis dennyi,demersal,30.5,NA,y,demersal,30.5
Liparis dennyi/fucensis,demersal,13.45,NA,y,demersal,13.45
Liparis fucensis,bathydemersal,18,NA,y,bathydemersal,18
Liparis fucensis,bathydemersal,18,NA,y,bathydemersal,18
Liparis mucosus,demersal,13,NA,y,demersal,13
Lipariscus nanus,benthopelagic,6.3,NA,y,benthopelagic,6.3
Lycodapus mandibularis,bathypelagic,20,NA,y,bathypelagic,20
Lyopsetta exilis,bathypelagic,35,NA,y,bathypelagic,21.8615314668581
Mallotus villosus,pelagic_oceanic,20,15,y,pelagic,15
Merluccius productus,pelagic_neritic,91,NA,y,pelagic,46.853664633064945
Microstomus pacificus,demersal,6,NA,y,demersal,35.982811256486166
Myoxocephalus jaok,demersal,74,NA,y,demersal,74
Odontopyxis trispinosa,demersal,9.5,NA,y,demersal,9.5
Oligocottus maculosus,demersal,8.9,NA,y,demersal,8.9
Oligocottus maculosus/snyderi,demersal,8.9,NA,y,demersal,8.9
Oligocottus snyderi,demersal,8.9,NA,y,demersal,8.9
Oncorhynchus gorbuscha,demersal,76,NA,y,demersal,51.914
Oncorhynchus keta,benthopelagic,100,58,y,benthopelagic,58
Oncorhynchus keta/nerka,benthopelagic,92,NA,y,benthopelagic,92
Oncorhynchus kisutch,pelagic,108,71,y,pelagic,71
Oncorhynchus mykiss,benthopelagic,122,60,y,benthopelagic,60
Oncorhynchus nerka,pelagic_oceanic,84,45,y,pelagic,13.542795232936077
Oncorhynchus tshawytscha,benthopelagic,150,70,y,benthopelagic,57.94826839334399
Ophiodon elongatus,demersal,152,NA,y,demersal,152
Parophrys vetulus,demersal,49,33,y,demersal,29.74134392840611
Pholis clemensi,demersal,13,NA,y,demersal,13
Pholis laeta,demersal,25,NA,y,demersal,25
Pholis laeta/ornata,demersal,27.5,NA,y,demersal,27.5
Pholis ornata,demersal,30,NA,y,demersal,30
Phytichthys chirus,demersal,20,NA,y,demersal,20
Pleuronectidae1,NA,NA,NA,y,NA,NA
Raja rhina,bathydemersal,180,NA,y,bathydemersal,81.86473473027196
Reinhardtius evermanni,demersal,100,54,y,demersal,54.2763671875
Reinhardtius hippoglossoides,benthopelagic,110,56,y,benthopelagic,56
Rhacochilus vacca,demersal,44.2,NA,y,demersal,44.2
Rhinoliparis barbulifer,bathydemersal,8.8,NA,y,bathydemersal,8.8
Ronquilus jordani,demersal,20,NA,y,demersal,14.325
Salmo salar,benthopelagic,150,38,n,benthopelagic,38
Salvelinus malma,benthopelagic,127,37.5,y,benthopelagic,37.5
Scophthalmus maximus,demersal,100,70,n,demersal,70
Scorpaenichthys marmoratus,demersal,99,NA,y,demersal,49.666666666666664
Sebastes alutus,bathydemersal,53,NA,y,bathydemersal,40.869565217391305
Sebastes caurinus,demersal,58,NA,y,demersal,34.91252100840336
Sebastes caurinus/maliger,demersal,59.5,NA,y,demersal,59.5
Sebastes crameri,bathydemersal,58,NA,y,bathydemersal,33.339645405405406
Sebastes crameri/diploproa,reef_associated,51.5,NA,y,reef_associated,51.5
Sebastes diploproa,reef_associated,45,NA,y,reef_associated,45
Sebastes entomelas,pelagic_neritic,60,NA,y,pelagic,60
Sebastes flavidus,reef_associated,66,NA,y,reef_associated,43.35009031179248
Sebastes maliger,demersal,61,NA,y,demersal,61
Sebastes maliger,demersal,61,NA,y,demersal,61
Sebastes mystinus,reef_associated,61,NA,y,reef_associated,61
Sebastes nebulosus,reef_associated,45,NA,y,reef_associated,45
Sebastolobus macrochir,bathydemersal,44,26.4,y,bathydemersal,26.4
Spirinchus starksi,benthopelagic,23,NA,y,benthopelagic,23
Spirinchus starksi,benthopelagic,23,NA,y,benthopelagic,23
Squalus acanthias,benthopelagic,160,100,n,benthopelagic,100
Squalus suckleyi,benthopelagic,140,NA,y,benthopelagic,69.30451183431953
Thaleichthys pacificus,pelagic_neritic,34,20,y,pelagic,16.96777656830601
Xiphister atropurpureus,demersal,30.5,NA,y,demersal,30.5
Xiphister atropurpureus/mucosus,demersal,44.25,NA,y,demersal,20.964912280701753
Xiphister mucosus,demersal,58,NA,y,demersal,58
Zoarcidae ,demersal,10,NA,y,demersal,10
Zoarcidae sp,demersal,10,NA,y,demersal,10
