set_number,lat1,lon1,lat2,lon2,distance,LCT,gamma_detection_method,alpha_detection_method,beta_detection_method,pabs_eDNA,weight_total_kg,pabs_trawl,biomass_index
7,50.57833333333333,126.52194444444444,50.5325,126.46499999999999,6.488480805791347,Thaleichthys pacificus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,1.52,1,0.23426130792331412
7,50.57833333333333,126.52194444444444,50.5325,126.46499999999999,6.488480805791347,Gadus chalcogrammus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,4.46,1,0.6873719956170927
7,50.57833333333333,126.52194444444444,50.5325,126.46499999999999,6.488480805791347,Squalus suckleyi,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,7.344,1,1.1318520035452757
8,48.37888888888889,123.81388888888888,48.340555555555554,123.94805555555556,10.783036673677204,Clupea pallasii,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,3.273,1,0.3035323071829867
8,48.37888888888889,123.81388888888888,48.340555555555554,123.94805555555556,10.783036673677204,Oncorhynchus tshawytscha,both eDNA/trawl,only trawl,both eDNA/trawl,0,9.46,1,0.877303888161031
8,48.37888888888889,123.81388888888888,48.340555555555554,123.94805555555556,10.783036673677204,Gadus chalcogrammus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,11.15,1,1.0340315383716168
8,48.37888888888889,123.81388888888888,48.340555555555554,123.94805555555556,10.783036673677204,Thaleichthys pacificus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.681,1,0.06315475135704673
9,48.56388888888888,123.86138888888888,48.42472222222222,123.85722222222222,15.467243603353591,Clupea pallasii,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,3.488,1,0.22550882946226666
9,48.56388888888888,123.86138888888888,48.42472222222222,123.85722222222222,15.467243603353591,Gadus chalcogrammus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,25.495,1,1.6483221350746815
9,48.56388888888888,123.86138888888888,48.42472222222222,123.85722222222222,15.467243603353591,Reinhardtius hippoglossoides,only trawl,only trawl,only trawl,0,3.034,1,0.1961564760861574
9,48.56388888888888,123.86138888888888,48.42472222222222,123.85722222222222,15.467243603353591,Merluccius productus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,39.702,1,2.5668439069125317
9,48.56388888888888,123.86138888888888,48.42472222222222,123.85722222222222,15.467243603353591,Oncorhynchus tshawytscha,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.88,1,0.0568944294514893
9,48.56388888888888,123.86138888888888,48.42472222222222,123.85722222222222,15.467243603353591,Parophrys vetulus,only trawl,only trawl,only trawl,0,0.164,1,0.010603052761413915
9,48.56388888888888,123.86138888888888,48.42472222222222,123.85722222222222,15.467243603353591,Squalus suckleyi,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,15.92,1,1.0292719509860337
9,48.56388888888888,123.86138888888888,48.42472222222222,123.85722222222222,15.467243603353591,Thaleichthys pacificus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,1.584,1,0.10240997301268075
