LCT,set_number,gamma_detection_method,alpha_detection_method,beta_detection_method,pabs_eDNA,weight_total_kg,pabs_trawl
Clupea pallasii,2,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.0283532522025059,1
Clupea pallasii,3,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,2.89,1
Clupea pallasii,4,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.182,1
Clupea pallasii,5,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.0228638100969311,1
Clupea pallasii,6,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.036,1
Clupea pallasii,7,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Clupea pallasii,8,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,3.273,1
Clupea pallasii,9,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,3.488,1
Cryptacanthodes giganteus,12,only eDNA,only eDNA,only eDNA,1,0,0
Cymatogaster aggregata,14,only eDNA,only eDNA,only eDNA,1,0,0
Cymatogaster aggregata,16,only eDNA,only eDNA,only eDNA,1,0,0
Cymatogaster aggregata,3,only eDNA,only eDNA,only eDNA,1,0,0
Cymatogaster aggregata,6,only eDNA,only eDNA,only eDNA,1,0,0
Cymatogaster aggregata,7,only eDNA,only eDNA,only eDNA,1,0,0
Diaphus theta,1,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Diaphus theta,11,both eDNA/trawl,only trawl,only trawl,0,0.028,1
Diaphus theta,13,both eDNA/trawl,only trawl,only trawl,0,0.036,1
Diaphus theta,2,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0,1
Diaphus theta,9,both eDNA/trawl,only trawl,only trawl,0,0,1
Embiotoca lateralis,10,only eDNA,only eDNA,only eDNA,1,0,0
Embiotoca lateralis,12,only eDNA,only eDNA,only eDNA,1,0,0
Embiotoca lateralis,13,only eDNA,only eDNA,only eDNA,1,0,0
Embiotoca lateralis,16,only eDNA,only eDNA,only eDNA,1,0,0
Engraulis mordax,10,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Engraulis mordax,12,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.06,1
Engraulis mordax,14,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.028,1
Engraulis mordax,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.034,1
Engraulis mordax,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Entosphenus tridentatus,10,only trawl,only trawl,only trawl,0,0.058,1
Eopsetta jordani,15,only eDNA,only eDNA,only eDNA,1,0,0
Eopsetta jordani,16,only eDNA,only eDNA,only eDNA,1,0,0
Eopsetta jordani,6,only eDNA,only eDNA,only eDNA,1,0,0
Gadus chalcogrammus,1,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Gadus chalcogrammus,10,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,36.466,1
Gadus chalcogrammus,11,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,1.472,1
Gadus chalcogrammus,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,10.31,1
Gadus chalcogrammus,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,45.371,1
Gadus chalcogrammus,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Gadus chalcogrammus,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Gadus chalcogrammus,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Gadus chalcogrammus,2,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Gadus chalcogrammus,3,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.558,1
Gadus chalcogrammus,4,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,47.206,1
Gadus chalcogrammus,5,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Gadus chalcogrammus,6,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,7.79969406051686,1
Gadus chalcogrammus,7,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,4.46,1
Gadus chalcogrammus,8,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,11.15,1
Gadus chalcogrammus,9,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,25.495,1
Gadus macrocephalus,1,only eDNA,only eDNA,only eDNA,1,0,0
Gadus macrocephalus,12,only eDNA,only eDNA,only eDNA,1,0,0
Gadus macrocephalus,13,only eDNA,only eDNA,only eDNA,1,0,0
Gadus macrocephalus,14,only eDNA,only eDNA,only eDNA,1,0,0
Gadus macrocephalus,15,only eDNA,only eDNA,only eDNA,1,0,0
Gadus macrocephalus,16,only eDNA,only eDNA,only eDNA,1,0,0
Gadus macrocephalus,2,only eDNA,only eDNA,only eDNA,1,0,0
Gadus macrocephalus,3,only eDNA,only eDNA,only eDNA,1,0,0
Gadus macrocephalus,4,only eDNA,only eDNA,only eDNA,1,0,0
Gadus macrocephalus,5,only eDNA,only eDNA,only eDNA,1,0,0
Gadus macrocephalus,6,only eDNA,only eDNA,only eDNA,1,0,0
Gadus macrocephalus,7,only eDNA,only eDNA,only eDNA,1,0,0
Gadus macrocephalus,8,only eDNA,only eDNA,only eDNA,1,0,0
Gadus macrocephalus,9,only eDNA,only eDNA,only eDNA,1,0,0
Glyptocephalus zachirus,1,only eDNA,only eDNA,only eDNA,1,0,0
Glyptocephalus zachirus,10,only eDNA,only eDNA,only eDNA,1,0,0
Glyptocephalus zachirus,12,only eDNA,only eDNA,only eDNA,1,0,0
Glyptocephalus zachirus,13,only eDNA,only eDNA,only eDNA,1,0,0
Glyptocephalus zachirus,14,only eDNA,only eDNA,only eDNA,1,0,0
Glyptocephalus zachirus,15,only eDNA,only eDNA,only eDNA,1,0,0
Glyptocephalus zachirus,16,only eDNA,only eDNA,only eDNA,1,0,0
Glyptocephalus zachirus,3,only eDNA,only eDNA,only eDNA,1,0,0
Glyptocephalus zachirus,5,only eDNA,only eDNA,only eDNA,1,0,0
Glyptocephalus zachirus,6,only eDNA,only eDNA,only eDNA,1,0,0
Glyptocephalus zachirus,8,only eDNA,only eDNA,only eDNA,1,0,0
Glyptocephalus zachirus,9,only eDNA,only eDNA,only eDNA,1,0,0
Gobiesox maeandricus,7,only eDNA,only eDNA,only eDNA,1,0,0
Gobiesox maeandricus,8,only eDNA,only eDNA,only eDNA,1,0,0
Hexagrammos decagrammus,1,only eDNA,only eDNA,only eDNA,1,0,0
Hexagrammos decagrammus,12,only eDNA,only eDNA,only eDNA,1,0,0
Hexagrammos decagrammus,15,only eDNA,only eDNA,only eDNA,1,0,0
Hexagrammos decagrammus,4,only eDNA,only eDNA,only eDNA,1,0,0
Hexagrammos decagrammus,5,only eDNA,only eDNA,only eDNA,1,0,0
Hexagrammos decagrammus,9,only eDNA,only eDNA,only eDNA,1,0,0
Hippoglossoides elassodon,16,only eDNA,only eDNA,only eDNA,1,0,0
Hippoglossus stenolepis,10,only eDNA,only eDNA,only eDNA,1,0,0
Hippoglossus stenolepis,14,only eDNA,only eDNA,only eDNA,1,0,0
Hippoglossus stenolepis,16,only eDNA,only eDNA,only eDNA,1,0,0
Hippoglossus stenolepis,4,only eDNA,only eDNA,only eDNA,1,0,0
Hippoglossus stenolepis,5,only eDNA,only eDNA,only eDNA,1,0,0
Hydrolagus colliei,14,only eDNA,only eDNA,only eDNA,1,0,0
Hydrolagus colliei,4,only eDNA,only eDNA,only eDNA,1,0,0
Icelinus borealis,16,only eDNA,only eDNA,only eDNA,1,0,0
Lepidopsetta bilineata/polyxystra,2,only eDNA,only eDNA,only eDNA,1,0,0
Leptoclinus maculatus,14,only eDNA,only eDNA,only eDNA,1,0,0
Liparidae1,14,only eDNA,only eDNA,only eDNA,1,0,0
Liparis dennyi/fucensis,5,only eDNA,only eDNA,only eDNA,1,0,0
Liparis dennyi/fucensis,7,only eDNA,only eDNA,only eDNA,1,0,0
Liparis fucensis,12,only eDNA,only eDNA,only eDNA,1,0,0
Liparis mucosus,4,only eDNA,only eDNA,only eDNA,1,0,0
Liparis mucosus,5,only eDNA,only eDNA,only eDNA,1,0,0
Lycodapus mandibularis,1,only eDNA,only eDNA,only eDNA,1,0,0
Lycodapus mandibularis,13,only eDNA,only eDNA,only eDNA,1,0,0
Lyopsetta exilis,12,only eDNA,only eDNA,only eDNA,1,0,0
Lyopsetta exilis,16,only eDNA,only eDNA,only eDNA,1,0,0
Mallotus villosus,4,both eDNA/trawl,only trawl,only trawl,0,0.003311088845936,1
Mallotus villosus,9,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Merluccius productus,1,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Merluccius productus,10,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,86.866,1
Merluccius productus,11,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,20.376,1
Merluccius productus,12,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Merluccius productus,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,24.676,1
Merluccius productus,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Merluccius productus,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Merluccius productus,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Merluccius productus,2,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Merluccius productus,3,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Merluccius productus,4,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.774,1
Merluccius productus,5,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Merluccius productus,6,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,13.704,1
Merluccius productus,7,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Merluccius productus,8,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Merluccius productus,9,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,39.702,1
Microstomus pacificus,13,only eDNA,only eDNA,only eDNA,1,0,0
Microstomus pacificus,14,only eDNA,only eDNA,only eDNA,1,0,0
Microstomus pacificus,15,only eDNA,only eDNA,only eDNA,1,0,0
Microstomus pacificus,16,only eDNA,only eDNA,only eDNA,1,0,0
Microstomus pacificus,3,only eDNA,only eDNA,only eDNA,1,0,0
Microstomus pacificus,4,only eDNA,only eDNA,only eDNA,1,0,0
Microstomus pacificus,9,only eDNA,only eDNA,only eDNA,1,0,0
Odontopyxis trispinosa,2,only eDNA,only eDNA,only eDNA,1,0,0
Oligocottus maculosus/snyderi,10,only eDNA,only eDNA,only eDNA,1,0,0
Oligocottus maculosus/snyderi,4,only eDNA,only eDNA,only eDNA,1,0,0
Oncorhynchus gorbuscha,1,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.152,1
Oncorhynchus gorbuscha,10,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,2.76,1
Oncorhynchus gorbuscha,13,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,2,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,4,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,5,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,6,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,7,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,8,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,9,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus keta,1,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus keta,10,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus keta,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,1.338,1
Oncorhynchus keta,13,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus keta,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus keta,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus keta,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus keta,2,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus keta,3,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus keta,4,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus keta,5,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus keta,6,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus keta,8,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus keta,9,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus kisutch,1,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus kisutch,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.344,1
Oncorhynchus kisutch,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus kisutch,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,3.564,1
Oncorhynchus kisutch,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.852,1
Oncorhynchus kisutch,2,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus kisutch,4,both eDNA/trawl,only trawl,both eDNA/trawl,0,3.188,1
Oncorhynchus kisutch,5,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus kisutch,7,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.034,1
Oncorhynchus kisutch,9,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus mykiss,16,only eDNA,only eDNA,only eDNA,1,0,0
Oncorhynchus nerka,1,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus nerka,10,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus nerka,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,182.836,1
Oncorhynchus nerka,13,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus nerka,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus nerka,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus nerka,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,5.452,1
Oncorhynchus nerka,2,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus nerka,3,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus nerka,4,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus nerka,5,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus nerka,7,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus nerka,8,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0,1
Oncorhynchus nerka,9,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus tshawytscha,1,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus tshawytscha,10,both eDNA/trawl,only trawl,both eDNA/trawl,0,16.116,1
Oncorhynchus tshawytscha,12,both eDNA/trawl,only trawl,both eDNA/trawl,0,8.722,1
Oncorhynchus tshawytscha,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,6.464,1
Oncorhynchus tshawytscha,14,both eDNA/trawl,only trawl,both eDNA/trawl,0,6.158,1
Oncorhynchus tshawytscha,15,both eDNA/trawl,only trawl,both eDNA/trawl,0,16.94,1
Oncorhynchus tshawytscha,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,2.596,1
Oncorhynchus tshawytscha,2,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus tshawytscha,3,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus tshawytscha,4,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus tshawytscha,5,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus tshawytscha,7,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus tshawytscha,8,both eDNA/trawl,only trawl,both eDNA/trawl,0,9.46,1
Oncorhynchus tshawytscha,9,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.88,1
Ophiodon elongatus,14,only eDNA,only eDNA,only eDNA,1,0,0
Parophrys vetulus,9,only trawl,only trawl,only trawl,0,0.164,1
Pholis laeta,12,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,13,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,14,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,16,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,3,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,4,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,5,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,7,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,8,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,9,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta/ornata,8,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta/ornata,9,only eDNA,only eDNA,only eDNA,1,0,0
Phytichthys chirus,1,only eDNA,only eDNA,only eDNA,1,0,0
Phytichthys chirus,14,only eDNA,only eDNA,only eDNA,1,0,0
Phytichthys chirus,15,only eDNA,only eDNA,only eDNA,1,0,0
Phytichthys chirus,16,only eDNA,only eDNA,only eDNA,1,0,0
Phytichthys chirus,2,only eDNA,only eDNA,only eDNA,1,0,0
Phytichthys chirus,9,only eDNA,only eDNA,only eDNA,1,0,0
Pleuronectidae1,14,only eDNA,only eDNA,only eDNA,1,0,0
Reinhardtius hippoglossoides,9,only trawl,only trawl,only trawl,0,3.034,1
Salvelinus malma,1,only eDNA,only eDNA,only eDNA,1,0,0
Salvelinus malma,14,only eDNA,only eDNA,only eDNA,1,0,0
Salvelinus malma,15,only eDNA,only eDNA,only eDNA,1,0,0
Sebastes,1,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,10,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,12,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,13,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,2,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,10.15,1
Sebastes,3,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,4,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,5,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,1.246,1
Sebastes,6,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,7,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,8,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0,1
Sebastes,9,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastolobus macrochir,15,only eDNA,only eDNA,only eDNA,1,0,0
Spirinchus starksi,3,only trawl,only trawl,only trawl,0,0.028,1
Squalus suckleyi,1,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Squalus suckleyi,10,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,9.54,1
Squalus suckleyi,11,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,4.376,1
Squalus suckleyi,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,43.49,1
Squalus suckleyi,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,17.998,1
Squalus suckleyi,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Squalus suckleyi,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Squalus suckleyi,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Squalus suckleyi,2,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,1.718,1
Squalus suckleyi,3,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.806,1
Squalus suckleyi,4,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,7.882,1
Squalus suckleyi,5,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Squalus suckleyi,6,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,11.378,1
Squalus suckleyi,7,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,7.344,1
Squalus suckleyi,8,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Squalus suckleyi,9,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,15.92,1
Thaleichthys pacificus,1,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Thaleichthys pacificus,10,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.058,1
Thaleichthys pacificus,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.34,1
Thaleichthys pacificus,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.06,1
Thaleichthys pacificus,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Thaleichthys pacificus,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Thaleichthys pacificus,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Thaleichthys pacificus,2,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.18,1
Thaleichthys pacificus,3,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.044,1
Thaleichthys pacificus,4,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,3.05,1
