kingdom,phylum,order,family,genus,species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,ids
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,NA,1,44,590,8633,2333712,NA,NA,NA,Sebastes
Animalia,Chordata,Osmeriformes,Osmeridae,Thaleichthys,Thaleichthys pacificus,1,44,1068,8480,2410902,2410903,NA,NA,Thaleichthys pacificus
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,1,44,1313,8615,2351426,5204037,NA,NA,Oncorhynchus gorbuscha
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes crameri,1,44,590,8633,2333712,2335443,NA,NA,Sebastes crameri
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis dennyi,1,44,590,8627,2335959,5201415,NA,NA,Liparis dennyi
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis fucensis,1,44,590,8627,2335959,5201508,NA,NA,Liparis fucensis
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus stelleri,1,44,588,8611,2409281,5213991,NA,NA,Glyptocephalus stelleri
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,1,44,588,8611,2409281,5214001,NA,NA,Glyptocephalus zachirus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,1,44,590,8633,2333712,2335366,NA,NA,Sebastes mystinus
Animalia,Chordata,Osmeriformes,Osmeridae,Spirinchus,Spirinchus lanceolatus,1,44,1068,8480,2410894,2410895,NA,NA,Spirinchus lanceolatus
Animalia,Chordata,Gobiesociformes,Gobiesocidae,Gobiesox,Gobiesox maeandricus,1,44,1163,7668,2411258,2411287,NA,NA,Gobiesox maeandricus
Animalia,Chordata,Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus,1,44,538,7332,2413443,2413452,NA,NA,Sprattus sprattus
Animalia,Chordata,Perciformes,Stichaeidae,Xiphister,Xiphister atropurpureus,1,44,587,8598,2394808,2394813,NA,NA,Xiphister atropurpureus
Animalia,Chordata,Perciformes,Stichaeidae,Xiphister,Xiphister mucosus,1,44,587,8598,2394808,2394809,NA,NA,Xiphister mucosus
Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,1,44,538,7332,2412615,2412661,NA,NA,Alosa sapidissima
Animalia,Chordata,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,1,44,1068,8480,2410910,5214420,NA,NA,Mallotus villosus
Animalia,Chordata,Perciformes,Embiotocidae,Embiotoca,Embiotoca lateralis,1,44,587,4269,2389281,2389287,NA,NA,Embiotoca lateralis
Animalia,Chordata,Perciformes,Pholidae,Pholis,Pholis crassispina,1,44,587,8576,2390397,5210429,NA,NA,Pholis crassispina
Animalia,Chordata,Perciformes,Pholidae,Pholis,Pholis clemensi,1,44,587,8576,2390397,5210431,NA,NA,Pholis clemensi
Animalia,Chordata,Perciformes,Pholidae,Pholis,Pholis picta,1,44,587,8576,2390397,5210418,NA,NA,Pholis picta
Animalia,Chordata,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus,1,44,587,8487,2389989,2389997,NA,NA,Ammodytes personatus
Animalia,Chordata,Perciformes,Ammodytidae,Ammodytes,Ammodytes japonicus,1,44,587,8487,2389989,8995137,NA,NA,Ammodytes japonicus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes maliger,1,44,590,8633,2333712,2335438,NA,NA,Sebastes maliger
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes caurinus,1,44,590,8633,2333712,2335455,NA,NA,Sebastes caurinus
Animalia,Chordata,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys stigmaeus,1,44,588,5082,2408301,2408737,NA,NA,Citharichthys stigmaeus
Animalia,Chordata,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,1,44,538,7334,2352080,2414024,NA,NA,Engraulis mordax
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus hippoglossus,1,44,588,8611,2408796,2409218,NA,NA,Hippoglossus hippoglossus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus stenolepis,1,44,588,8611,2408796,2409216,NA,NA,Hippoglossus stenolepis
Animalia,Chordata,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,1,44,590,5090,2335061,2335062,NA,NA,Anoplopoma fimbria
Animalia,Chordata,Squaliformes,Squalidae,Squalus,Squalus acanthias,1,44,883,5872,2420869,5216368,Elasmobranchii,121,Squalus acanthias
Animalia,Chordata,Squaliformes,Squalidae,Squalus,Squalus suckleyi,1,44,883,5872,2420869,5216380,Elasmobranchii,121,Squalus suckleyi
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes entomelas,1,44,590,8633,2333712,2335516,NA,NA,Sebastes entomelas
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus morhua,1,44,549,3701,2335052,8084280,NA,NA,Gadus morhua
Animalia,Chordata,Scorpaeniformes,Cottidae,Artedius,Artedius lateralis,1,44,590,8621,2333960,2333966,NA,NA,Artedius lateralis
Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,1,44,538,7332,2346676,4284072,NA,NA,Clupea pallassi
Animalia,Chordata,Myctophiformes,Myctophidae,Lampanyctus,Lampanyctus tenuiformis,1,44,1306,4217,2405956,2405991,NA,NA,Lampanyctus tenuiformis
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,1,44,590,8626,2336463,2336472,NA,NA,Hexagrammos decagrammus
Animalia,Chordata,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,1,44,1306,4217,2406168,2406199,NA,NA,Diaphus theta
Animalia,Chordata,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus maculosus,1,44,590,8621,2333736,2333746,NA,NA,Oligocottus maculosus
Animalia,Chordata,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus snyderi,1,44,590,8621,2333736,2333742,NA,NA,Oligocottus snyderi
Animalia,Chordata,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys sordidus,1,44,588,5082,2408301,2408726,NA,NA,Citharichthys sordidus
Animalia,Chordata,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus purpurescens,1,44,587,8598,2394913,2394914,NA,NA,Anoplarchus purpurescens
Animalia,Chordata,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus insignis,1,44,587,8598,2394913,2394916,NA,NA,Anoplarchus insignis
Animalia,Chordata,Perciformes,Cryptacanthodidae,Cryptacanthodes,Cryptacanthodes giganteus,1,44,587,4264,2387403,2387407,NA,NA,Cryptacanthodes giganteus
Animalia,Chordata,Perciformes,Embiotocidae,Cymatogaster,Cymatogaster aggregata,1,44,587,4269,2389233,2389234,NA,NA,Cymatogaster aggregata
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Atheresthes,Atheresthes evermanni,1,44,588,8611,2409090,2409095,NA,NA,Atheresthes evermanni
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,1,44,1313,8615,2351426,5204034,NA,NA,Oncorhynchus kisutch
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,1,44,588,8611,2409352,5214028,NA,NA,Microstomus pacificus
Animalia,Chordata,Chimaeriformes,Chimaeridae,Hydrolagus,Hydrolagus colliei,1,44,880,2181,2417351,5215461,Holocephali,120,Hydrolagus colliei
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Lyopsetta,Lyopsetta exilis,1,44,588,8611,2409225,2409226,NA,NA,Lyopsetta exilis
Animalia,Chordata,Perciformes,Pholidae,Pholis,Pholis laeta,1,44,587,8576,2390397,5210424,NA,NA,Pholis laeta
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastolobus,Sebastolobus macrochir,1,44,590,8633,2335321,2335324,NA,NA,Sebastolobus macrochir
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastiscus,Sebastiscus marmoratus,1,44,590,8633,2335354,2335355,NA,NA,Sebastiscus marmoratus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes diploproa,1,44,590,8633,2333712,2335406,NA,NA,Sebastes diploproa
Animalia,Chordata,Perciformes,Stichaeidae,Xiphister,Xiphister atropurpureus,1,44,587,8598,2394808,2394813,NA,NA,Xiphister atropurpureus_mucosus
Animalia,Chordata,Salmoniformes,Salmonidae,Salmo,Salmo salar,1,44,1313,8615,2347608,7595433,NA,NA,Salmo salar
Animalia,Chordata,Scorpaeniformes,Cottidae,Enophrys,Enophrys bison,1,44,590,8621,2333763,5201188,NA,NA,Enophrys bison
Animalia,Chordata,Scorpaeniformes,Agonidae,Odontopyxis,Odontopyxis trispinosa,1,44,590,8617,2337271,2337272,NA,NA,Odontopyxis trispinosa
