kingdom,phylum,order,family,genus,species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,ids
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes nebulosus,1,44,590,8633,2333712,2335508,NA,NA,Sebastes nebulosus
Animalia,Chordata,Perciformes,Embiotocidae,Cymatogaster,Cymatogaster aggregata,1,44,587,4269,2389233,2389234,NA,NA,Cymatogaster aggregata
Animalia,Chordata,Perciformes,Pholidae,Pholis,Pholis ornata,1,44,587,8576,2390397,5210410,NA,NA,Pholis ornata
Animalia,Chordata,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,1,44,590,5090,2335061,2335062,NA,NA,Anoplopoma fimbria
Animalia,Chordata,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,1,44,549,3703,2415629,2415676,NA,NA,Merluccius productus
Animalia,Chordata,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus insignis,1,44,587,8598,2394913,2394916,NA,NA,Anoplarchus insignis
Animalia,Chordata,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus purpurescens,1,44,587,8598,2394913,2394914,NA,NA,Anoplarchus purpurescens
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus hippoglossus,1,44,588,8611,2408796,2409218,NA,NA,Hippoglossus hippoglossus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus stenolepis,1,44,588,8611,2408796,2409216,NA,NA,Hippoglossus stenolepis
Animalia,Chordata,Salmoniformes,Salmonidae,Salmo,Salmo salar,1,44,1313,8615,2347608,7595433,NA,NA,Salmo salar
Animalia,Chordata,Osmeriformes,Osmeridae,Osmerus,Osmerus eperlanus,1,44,1068,8480,2401117,2410854,NA,NA,Osmerus eperlanus
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,1,44,1313,8615,2351426,5204037,NA,NA,Oncorhynchus gorbuscha
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes maliger,1,44,590,8633,2333712,2335438,NA,NA,Sebastes maliger
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes caurinus,1,44,590,8633,2333712,2335455,NA,NA,Sebastes caurinus
Animalia,Chordata,Scorpaeniformes,Liparidae,Paraliparis,Paraliparis rosaceus,1,44,590,8627,2336274,2336296,NA,NA,Paraliparis rosaceus
Animalia,Chordata,Scorpaeniformes,Liparidae,Lipariscus,Lipariscus nanus,1,44,590,8627,2336408,2336409,NA,NA,Lipariscus nanus
Animalia,Chordata,Scorpaeniformes,Liparidae,Rhinoliparis,Rhinoliparis barbulifer,1,44,590,8627,2336096,2336097,NA,NA,Rhinoliparis barbulifer
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Lepidopsetta,Lepidopsetta polyxystra,1,44,588,8611,5213905,5213938,NA,NA,Lepidopsetta polyxystra
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Lepidopsetta,Lepidopsetta bilineata,1,44,588,8611,5213905,5213939,NA,NA,Lepidopsetta bilineata
Animalia,Chordata,Perciformes,Stichaeidae,Xiphister,Xiphister mucosus,1,44,587,8598,2394808,2394809,NA,NA,Xiphister mucosus
Animalia,Chordata,Perciformes,Stichaeidae,Xiphister,Xiphister atropurpureus,1,44,587,8598,2394808,2394813,NA,NA,Xiphister atropurpureus
Animalia,Chordata,Perciformes,Zoarcidae,Lycodapus,Lycodapus microchir,1,44,587,5079,2380868,2380882,NA,NA,Lycodapus microchir
Animalia,Chordata,Perciformes,Pholidae,Pholis,Pholis laeta,1,44,587,8576,2390397,5210424,NA,NA,Pholis laeta
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastolobus,Sebastolobus macrochir,1,44,590,8633,2335321,2335324,NA,NA,Sebastolobus macrochir
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastiscus,Sebastiscus marmoratus,1,44,590,8633,2335354,2335355,NA,NA,Sebastiscus marmoratus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides elassodon,1,44,588,8611,2409098,2409109,NA,NA,Hippoglossoides elassodon
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,1,44,590,8633,2333712,2335366,NA,NA,Sebastes mystinus
Animalia,Chordata,Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus,1,44,538,7332,2413443,2413452,NA,NA,Sprattus sprattus
Animalia,Chordata,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys sordidus,1,44,588,5082,2408301,2408726,NA,NA,Citharichthys sordidus
Animalia,Chordata,Scorpaeniformes,Cottidae,Icelinus,Icelinus borealis,1,44,590,8621,2334346,2334359,NA,NA,Icelinus borealis
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Atheresthes,Atheresthes evermanni,1,44,588,8611,2409090,2409095,NA,NA,Atheresthes evermanni
Animalia,Chordata,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,1,44,538,7334,2352080,2414024,NA,NA,Engraulis mordax
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis fucensis,1,44,590,8627,2335959,5201508,NA,NA,Liparis fucensis
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Limanda,Limanda ferruginea,1,44,588,8611,5213949,5213953,NA,NA,Myzopsetta ferruginea
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys flesus,1,44,588,8611,2409326,2409330,NA,NA,Platichthys flesus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus,1,44,588,8611,2409326,2409327,NA,NA,Platichthys stellatus
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis florae,1,44,590,8627,2335959,5201520,NA,NA,Liparis florae
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,1,44,1313,8615,2351426,5204014,NA,NA,Oncorhynchus keta
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Eopsetta,Eopsetta jordani,1,44,588,8611,2409233,2409237,NA,NA,Eopsetta jordani
Animalia,Chordata,Scorpaeniformes,Cottidae,Leptocottus,Leptocottus armatus,1,44,590,8621,2333922,2333923,NA,NA,Leptocottus armatus
Animalia,Chordata,Chimaeriformes,Chimaeridae,Hydrolagus,Hydrolagus colliei,1,44,880,2181,2417351,5215461,Holocephali,120,Hydrolagus colliei
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Lyopsetta,Lyopsetta exilis,1,44,588,8611,2409225,2409226,NA,NA,Lyopsetta exilis
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes crameri,1,44,590,8633,2333712,2335443,NA,NA,Sebastes crameri
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,1,44,588,8611,2409352,5214028,NA,NA,Microstomus pacificus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes diploproa,1,44,590,8633,2333712,2335406,NA,NA,Sebastes diploproa
Animalia,Chordata,Gobiesociformes,Gobiesocidae,Gobiesox,Gobiesox maeandricus,1,44,1163,7668,2411258,2411287,NA,NA,Gobiesox maeandricus
Animalia,Chordata,Gadiformes,Gadidae,Arctogadus,Arctogadus glacialis,1,44,549,3701,2415881,2415882,NA,NA,Arctogadus glacialis
Animalia,Chordata,Scorpaeniformes,Cottidae,Artedius,Artedius harringtoni,1,44,590,8621,2333960,2333963,NA,NA,Artedius harringtoni
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus morhua,1,44,549,3701,2335052,8084280,NA,NA,Gadus morhua
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis mucosus,1,44,590,8627,2335959,5201509,NA,NA,Liparis mucosus
Animalia,Chordata,Scorpaeniformes,Cottidae,Enophrys,Enophrys bison,1,44,590,8621,2333763,5201188,NA,NA,Enophrys bison
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,1,44,1313,8615,2351426,5204019,NA,NA,Oncorhynchus mykiss
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,1,44,590,8626,2336463,2336472,NA,NA,Hexagrammos decagrammus
Animalia,Chordata,Perciformes,Stichaeidae,Leptoclinus,Leptoclinus maculatus,1,44,587,8598,2394831,2394832,NA,NA,Leptoclinus maculatus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Parophrys,Parophrys vetulus,1,44,588,8611,2409369,2409370,NA,NA,Parophrys vetulus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus,1,44,588,8611,2408960,2409051,NA,NA,Psettichthys melanostictus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,1,44,588,8611,2409201,2409202,NA,NA,Isopsetta isolepis
Animalia,Chordata,Perciformes,Zoarcidae,Lycodapus,Lycodapus mandibularis,1,44,587,5079,2380868,2380870,NA,NA,Lycodapus mandibularis
Animalia,Chordata,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus acuticeps,1,44,590,8621,2333865,2333873,NA,NA,Clinocottus acuticeps
Animalia,Chordata,Rajiformes,Rajidae,Raja,Raja rhina,1,44,884,5877,2342057,5216020,Elasmobranchii,121,Raja rhina
