LCT,n,gamma_detection_method,beta_detection_method,alpha_detection_method
Lycodapus mandibularis,2,only eDNA,only eDNA,only eDNA
Lyopsetta exilis,2,only eDNA,only eDNA,only eDNA
Mallotus villosus,2,both eDNA/trawl,only trawl,only trawl
Mallotus villosus,2,both eDNA/trawl,only eDNA,only eDNA
Merluccius productus,16,both eDNA/trawl,both eDNA/trawl,only eDNA
Merluccius productus,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Microstomus pacificus,7,only eDNA,only eDNA,only eDNA
Odontopyxis trispinosa,1,only eDNA,only eDNA,only eDNA
Oligocottus maculosus/snyderi,2,only eDNA,only eDNA,only eDNA
Oncorhynchus gorbuscha,14,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Oncorhynchus gorbuscha,14,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus keta,14,both eDNA/trawl,only eDNA,only eDNA
Oncorhynchus keta,14,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus keta,14,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Oncorhynchus kisutch,10,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus kisutch,10,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Oncorhynchus kisutch,10,both eDNA/trawl,both eDNA/trawl,only trawl
Oncorhynchus mykiss,1,only eDNA,only eDNA,only eDNA
Oncorhynchus nerka,14,both eDNA/trawl,only eDNA,only eDNA
Oncorhynchus nerka,14,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus nerka,14,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Oncorhynchus tshawytscha,14,both eDNA/trawl,only eDNA,only eDNA
Oncorhynchus tshawytscha,14,both eDNA/trawl,both eDNA/trawl,only trawl
Oncorhynchus tshawytscha,14,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Ophiodon elongatus,1,only eDNA,only eDNA,only eDNA
Parophrys vetulus,1,only trawl,only trawl,only trawl
Pholis laeta,10,only eDNA,only eDNA,only eDNA
Pholis laeta/ornata,2,only eDNA,only eDNA,only eDNA
Phytichthys chirus,6,only eDNA,only eDNA,only eDNA
Pleuronectidae1,1,only eDNA,only eDNA,only eDNA
Reinhardtius hippoglossoides,1,only trawl,only trawl,only trawl
Salvelinus malma,3,only eDNA,only eDNA,only eDNA
Sebastes,15,both eDNA/trawl,both eDNA/trawl,only eDNA
Sebastes,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Sebastolobus macrochir,1,only eDNA,only eDNA,only eDNA
Spirinchus starksi,1,only trawl,only trawl,only trawl
Squalus suckleyi,16,both eDNA/trawl,both eDNA/trawl,only eDNA
Squalus suckleyi,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Thaleichthys pacificus,15,both eDNA/trawl,both eDNA/trawl,only eDNA
Thaleichthys pacificus,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Xiphister atropurpureus/mucosus,5,only eDNA,only eDNA,only eDNA
Zoarcidae,1,only trawl,only trawl,only trawl
